Player ID,Player,Team,Number of Agents Played,Rounds Played,Rating,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HSP,CSP,CL,Kills Max,K,D,A,FK,FD,Performance Category
45,rhyme,GIA,4,161,0.97,174.0,0.83,74.0,113.9,0.58,0.54,0.04,0.08,32.0,11.0,Feb-18,20,94,113,87,6,13,Média
46,crashies,NRG,2,130,0.97,191.8,1.01,73.0,123.2,0.69,0.34,0.03,0.05,29.0,18.0,Mar-17,20,90,89,44,3,5,Média
47,nobody,EDG,3,358,0.97,198.3,0.93,72.0,137.2,0.69,0.33,0.1,0.14,30.0,18.0,Jul-39,27,248,266,117,36,49,Média
48,MOJJ,FUT,2,216,0.97,192.8,0.93,67.0,129.7,0.65,0.28,0.13,0.12,30.0,20.0,Jul-35,22,141,152,60,28,25,Média
49,Munchkin,T1,3,129,0.96,211.7,0.93,64.0,139.7,0.7,0.22,0.12,0.12,24.0,8.0,Feb-24,17,90,97,29,16,15,Média
50,stax,DRX,4,283,0.95,175.9,0.92,68.0,111.3,0.64,0.36,0.05,0.07,33.0,17.0,May-30,27,182,198,101,14,21,Média
51,xeta,T1,2,129,0.95,187.7,0.94,71.0,120.7,0.64,0.26,0.05,0.1,24.0,19.0,Mar-16,17,82,87,34,7,13,Média
52,Smoggy,EDG,4,358,0.94,201.0,0.98,69.0,134.8,0.73,0.22,0.09,0.09,30.0,8.0,Mar-40,25,261,265,77,34,34,Baixa Performance
53,Zyppan,NAVI,3,204,0.93,198.3,0.88,69.0,138.0,0.67,0.29,0.11,0.14,27.0,15.0,Feb-13,21,136,154,59,22,29,Baixa Performance
54,Boostio,EG,4,459,0.93,187.7,0.87,70.0,128.7,0.63,0.26,0.11,0.11,23.0,10.0,Apr-41,26,291,335,119,51,52,Baixa Performance
55,Dep,ZETA,2,79,0.93,253.7,1.08,61.0,156.3,0.89,0.08,0.12,0.08,28.0,,0/5,29,70,65,6,6,4,Baixa Performance
